T,Age,Education,Black (0/1),Hispanic (0/1),Married (0/1),Nodegree (0/1),RE75,RE78
0.000000,47.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,50.000000,12.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,44.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,28.000000,12.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,54.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,55.000000,12.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
0.000000,47.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,25.000000,12.000000,1.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,44.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,50.000000,12.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,23.000000,12.000000,1.000000,0.000000,0.000000,0.000000,0.000000,4728.725000
0.000000,49.000000,14.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,55.000000,14.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,34.000000,14.000000,1.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,34.000000,16.000000,0.000000,0.000000,1.000000,0.000000,0.000000,11821.813000
0.000000,55.000000,13.000000,0.000000,1.000000,1.000000,0.000000,0.000000,0.000000
0.000000,52.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,52.000000,15.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,30.000000,16.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,21.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,30.000000,17.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,44.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,46.000000,12.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000
0.000000,53.000000,17.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,26.000000,16.000000,0.000000,0.000000,0.000000,0.000000,0.000000,9014.132100
0.000000,49.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,13299.539000
0.000000,39.000000,15.000000,0.000000,0.000000,1.000000,0.000000,0.000000,1921.044500
0.000000,26.000000,17.000000,0.000000,0.000000,1.000000,0.000000,0.000000,11821.813000
0.000000,32.000000,16.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
0.000000,34.000000,12.000000,0.000000,0.000000,1.000000,0.000000,0.000000,0.000000
