"ATE","EY1","EY0"
0.140523071436418,0.542716080333524,0.30391617764868
0.140523071436418,0.391876852083434,0.1916336675084
0.140523071436418,0.221906167538398,0.0949540607515259
0.140523071436418,0.0269820501783536,0.0100983785634331
0.140523071436418,0.823748444782742,0.632266602492647
0.140523071436418,0.386884482755897,0.188401993310726
0.140523071436418,0.128483730504793,0.0514447194320066
0.140523071436418,0.0387245062762665,0.0146034203801177
0.140523071436418,0.253130489490899,0.110860118165337
0.140523071436418,0.0906837484663505,0.0353893103307687
0.140523071436418,0.397939925091404,0.195595078379887
0.140523071436418,0.397033778653836,0.195000455730661
0.140523071436418,0.262114545701728,0.115576129552115
0.140523071436418,0.402501276813068,0.198602159588178
0.140523071436418,0.428101145226263,0.215920072309182
0.140523071436418,0.105411250972273,0.0415470187676508
0.140523071436418,0.179143515270675,0.0743191376555695
0.140523071436418,0.494219667834736,0.264419649273688
0.140523071436418,0.161899058832883,0.0663495276015966
0.140523071436418,0.10621785088336,0.0418878157614273
0.140523071436418,0.104174816300049,0.0410253342588868
0.140523071436418,0.70118524544047,0.463303174380019
0.140523071436418,0.279635106202792,0.124960392994944
0.140523071436418,0.709923312101455,0.473776988640181
0.140523071436418,0.938941317953355,0.849785230463334
0.140523071436418,0.375410564108857,0.181076027315149
0.140523071436418,0.264930044850468,0.117067313937439
0.140523071436418,0.306930200404862,0.140093891763737
0.140523071436418,0.530248140228453,0.293414171927796
0.140523071436418,0.131069244737989,0.0525734751632008
0.140523071436418,0.145106737132361,0.0587727092913659
0.140523071436418,0.221156387605553,0.0945810878481216
0.140523071436418,0.587268696408619,0.343595003145731
0.140523071436418,0.12830744465869,0.051367904688118
0.140523071436418,0.23389205319879,0.100972684848027
0.140523071436418,0.469928359420406,0.245931177099793
0.140523071436418,0.499661090963289,0.268674970587134
0.140523071436418,0.464076967536378,0.241597681614885
0.140523071436418,0.354990013807885,0.168376658341693
0.140523071436418,0.709923312101455,0.473776988640181
0.140523071436418,0.313125926162135,0.143619721179255
0.140523071436418,0.294914709441994,0.133352932299647
0.140523071436418,0.0529718928518395,0.0201624007170692
0.140523071436418,0.218430205347183,0.0932284241474986
0.140523071436418,0.310353490777645,0.142037751625283
0.140523071436418,0.424816061135004,0.213654908846003
0.140523071436418,0.0619828119176192,0.0237320379260227
0.140523071436418,0.346028604193332,0.162936119336248
0.140523071436418,0.142813101076477,0.0577515286849518
0.140523071436418,0.509100532411841,0.276159223563972
0.140523071436418,0.0526455739070224,0.0200339201061761
0.140523071436418,0.0316107619455361,0.011866054720131
0.140523071436418,0.31542824447888,0.144938702644606
0.140523071436418,0.217553975145198,0.0927948084398618
0.140523071436418,0.569349204667664,0.327216053751985
0.140523071436418,0.482177314381396,0.255151955408868
0.140523071436418,0.121082018033122,0.0482354509565263
0.140523071436418,0.649966772164222,0.405859967317093
0.140523071436418,0.145744561626913,0.0590572633405502
0.140523071436418,0.132902999250545,0.05337647728354
0.140523071436418,0.182886551253335,0.0760749494247158
0.140523071436418,0.553160503230279,0.312909659569361
0.140523071436418,0.108208389745558,0.0427304357055627
0.140523071436418,0.472594395898573,0.247920782123595
